Date,DrawNo,Time,Mark,Line,Suit
04/07/1994,1,Midday,15,6,5 suit
04/07/1994,2,Evening,11,2,1 suit
05/07/1994,3,Midday,36,9,6 suit
05/07/1994,4,Evening,31,4,1 suit
06/07/1994,5,Midday,12,3,2 suit
06/07/1994,6,Evening,36,9,6 suit
07/07/1994,7,Midday,6,6,6 suit
07/07/1994,8,Evening,23,5,3 suit
08/07/1994,9,Midday,1,1,1 suit
08/07/1994,10,Evening,21,3,1 suit
09/07/1994,11,Midday,24,6,4 suit
09/07/1994,12,Evening,23,5,3 suit
11/07/1994,13,Midday,30,3,0s
11/07/1994,14,Evening,9,9,9 suit
12/07/1994,15,Midday,5,5,5 suit
12/07/1994,16,Evening,24,6,4 suit
13/07/1994,17,Midday,30,3,0s
13/07/1994,18,Evening,5,5,5 suit
14/07/1994,19,Midday,33,6,3 suit
14/07/1994,20,Evening,15,6,5 suit
15/07/1994,21,Midday,3,3,3 suit
15/07/1994,22,Evening,15,6,5 suit
16/07/1994,23,Midday,31,4,1 suit
16/07/1994,24,Evening,33,6,3 suit
18/07/1994,25,Midday,18,9,8 suit
18/07/1994,26,Evening,19,1,9 suit
19/07/1994,27,Midday,5,5,5 suit
19/07/1994,28,Evening,18,9,8 suit
20/07/1994,29,Midday,28,1,8 suit
20/07/1994,30,Evening,3,3,3 suit
21/07/1994,31,Midday,27,9,7 suit
21/07/1994,32,Evening,13,4,3 suit
22/07/1994,33,Midday,19,1,9 suit
22/07/1994,34,Evening,13,4,3 suit
23/07/1994,35,Midday,4,4,4 suit
23/07/1994,36,Evening,7,7,7 suit
25/07/1994,37,Midday,32,5,2 suit
25/07/1994,38,Evening,8,8,8 suit
26/07/1994,39,Midday,32,5,2 suit
26/07/1994,40,Evening,31,4,1 suit
27/07/1994,41,Midday,26,8,6 suit
27/07/1994,42,Evening,11,2,1 suit
28/07/1994,43,Midday,2,2,2 suit
28/07/1994,44,Evening,25,7,5 suit
29/07/1994,45,Midday,24,6,4 suit
29/07/1994,46,Evening,10,1,0s
30/07/1994,47,Midday,6,6,6 suit
30/07/1994,48,Evening,28,1,8 suit
01/08/1994,49,Midday,6,6,6 suit
01/08/1994,50,Evening,13,4,3 suit
02/08/1994,51,Midday,17,8,7 suit
02/08/1994,52,Evening,13,4,3 suit
03/08/1994,53,Midday,32,5,2 suit
03/08/1994,54,Evening,28,1,8 suit
04/08/1994,55,Midday,7,7,7 suit
04/08/1994,56,Evening,13,4,3 suit
05/08/1994,57,Midday,30,3,0s
05/08/1994,58,Evening,24,6,4 suit
06/08/1994,59,Midday,29,2,9 suit
06/08/1994,60,Evening,6,6,6 suit
08/08/1994,61,Midday,12,3,2 suit
08/08/1994,62,Evening,1,1,1 suit
09/08/1994,63,Midday,22,4,2 suit
09/08/1994,64,Evening,31,4,1 suit
10/08/1994,65,Midday,5,5,5 suit
10/08/1994,66,Evening,7,7,7 suit
11/08/1994,67,Midday,15,6,5 suit
11/08/1994,68,Evening,9,9,9 suit
12/08/1994,69,Midday,16,7,6 suit
12/08/1994,70,Evening,26,8,6 suit
13/08/1994,71,Midday,14,5,4 suit
13/08/1994,72,Evening,1,1,1 suit
15/08/1994,73,Midday,28,1,8 suit
15/08/1994,74,Evening,6,6,6 suit
16/08/1994,75,Midday,11,2,1 suit
16/08/1994,76,Evening,25,7,5 suit
17/08/1994,77,Midday,7,7,7 suit
